BLOCK,FLOOR,FLAT,PRICE,SFA
11,34,A,8.62,587
11,17,D,8.62,587
10,9,A,8.61,587
8,21,A,8.61,587
10,9,A,8.61,587
12,11,D,8.60,587
8,26,D,8.60,587
10,10,D,8.60,587
10,11,A,8.60,587
8,19,D,8.60,587
9,7,A,8.60,587
12,12,A,8.60,587
9,7,A,8.59,587
10,15,A,8.59,587
12,14,D,8.58,587
12,27,D,8.58,587
8,33,A,8.58,587
9,9,A,8.57,587
8,24,D,8.57,587
12,9,D,8.57,587
11,12,A,8.57,587
10,7,D,8.57,587
8,20,D,8.57,587
10,7,A,8.56,587
8,12,D,8.56,587
11,21,A,8.56,587
8,11,D,8.55,587
12,7,A,8.55,587
12,13,D,8.55,587
8,32,A,8.55,587
12,29,A,8.55,587
10,8,D,8.54,587
8,22,A,8.54,587
9,9,A,8.54,587
9,7,D,8.53,587
10,13,D,8.53,587
12,7,A,8.53,587
8,17,D,8.53,587
8,13,D,8.53,587
11,13,A,8.53,587
10,7,D,8.53,587
11,14,D,8.52,587
9,12,D,8.52,587
10,6,D,8.52,587
10,6,D,8.51,587
11,12,D,8.51,587
11,22,A,8.51,587
10,11,D,8.50,587
12,7,A,8.50,587
12,9,A,8.50,587
12,8,A,8.50,587
9,7,D,8.50,587
12,11,D,8.49,587
9,9,A,8.49,587
9,34,A,8.49,587
12,29,D,8.48,587
9,23,A,8.48,587
11,11,D,8.48,587
11,8,A,8.48,587
9,24,A,8.48,587
11,6,A,8.47,587
9,5,A,8.47,587
9,5,D,8.47,587
11,8,D,8.47,587
8,9,D,8.47,587
9,5,D,8.46,587
8,12,D,8.46,587
8,10,D,8.46,587
10,7,A,8.46,587
8,15,A,8.46,587
12,8,D,8.46,587
10,6,A,8.46,587
10,9,A,8.46,587
10,7,A,8.45,587
12,9,A,8.45,587
9,6,A,8.45,587
8,11,A,8.45,587
10,5,A,8.44,587
10,5,A,8.44,587
9,28,H,8.44,561
8,28,H,8.44,561
8,25,D,8.44,587
8,13,D,8.44,587
12,9,D,8.44,587
11,27,D,8.44,587
8,11,A,8.43,587
8,12,D,8.43,587
9,6,A,8.43,587
8,8,A,8.43,587
12,5,D,8.42,587
8,11,D,8.42,587
10,8,D,8.42,587
12,15,D,8.41,587
10,11,A,8.41,587
8,8,A,8.41,587
9,10,A,8.41,587
8,9,D,8.41,587
